# Real Imaginary
5.8685098947296897e+05 -4.9219187164369447e+05
5.8685098947296897e+05 4.9219187164369447e+05
5.9004362493996602e+05 4.8844124360232608e+05
5.9004362493996602e+05 -4.8844124360232608e+05
6.0560874620807916e+05 -4.6905168253853597e+05
6.0560874620807916e+05 4.6905168253853597e+05
5.9321336527007632e+05 -4.8465237813972856e+05
5.9321336527007632e+05 4.8465237813972856e+05
5.9635812502897228e+05 -4.8082270711155003e+05
5.9635812502897228e+05 4.8082270711155003e+05
6.0256056700881920e+05 4.7302719382422516e+05
6.0256056700881920e+05 -4.7302719382422516e+05
5.9947513948638679e+05 4.7694902731737454e+05
5.9947513948638679e+05 -4.7694902731737454e+05
-5.5661352132547938e+05 -5.2740072343159770e+05
-5.5661352132547938e+05 5.2740072343159770e+05
7.6834722825475631e+05 -1.1873675525508255e+04
7.6834722825475631e+05 1.1873675525508255e+04
-7.5431426220153295e+05 -1.5343759240372397e+05
-7.5431426220153295e+05 1.5343759240372397e+05
-5.2403836858804838e+05 -5.6461548055526696e+05
-5.2403836858804838e+05 5.6461548055526696e+05
-6.1708687151880050e+05 -4.6282147127992468e+05
-6.1708687151880050e+05 4.6282147127992468e+05
6.4952262413025112e+05 -4.1731358247505804e+05
6.4952262413025112e+05 4.1731358247505804e+05
-7.6475688439943362e+05 1.3273330548270483e+05
-7.6475688439943362e+05 -1.3273330548270483e+05
-7.5398921532914520e+05 -2.0689762099434514e+05
-7.5398921532914520e+05 2.0689762099434514e+05
-7.7490113260587980e+05 1.1594395762385450e+05
-7.7490113260587980e+05 -1.1594395762385450e+05
3.7215076763849531e+05 6.9351023755344120e+05
3.7215076763849531e+05 -6.9351023755344120e+05
7.8757610455995565e+05 3.6189733021362561e+04
7.8757610455995565e+05 -3.6189733021362561e+04
-7.8387674665638502e+05 -1.0704076690606859e+05
-7.8387674665638502e+05 1.0704076690606859e+05
-5.5466708400175197e+05 -5.6733473044141883e+05
-5.5466708400175197e+05 5.6733473044141883e+05
-4.5023664468966634e+05 6.5340707379720826e+05
-4.5023664468966634e+05 -6.5340707379720826e+05
-7.8833524900082336e+05 -9.9017829153448474e+04
-7.8833524900082336e+05 9.9017829153448474e+04
-2.2203012313664527e+05 -7.6442186622403958e+05
-2.2203012313664527e+05 7.6442186622403958e+05
-3.6960267120650189e+05 -7.0572751037874201e+05
-3.6960267120650189e+05 7.0572751037874201e+05
-7.9223475569660973e+05 9.2986904781750185e+04
-7.9223475569660973e+05 -9.2986904781750185e+04
7.9865211307557602e+05 -2.3697516898175338e+04
